561	37809
562	37130
563	35871
564	36358
565	35018
566	34512
567	32474
568	33060
569	31742
570	31516
571	29319
572	29680
573	28527
574	28240
575	28536
576	27567
577	27345
578	27211
579	27117
580	26090
581	26500
582	26745
583	26679
584	27258
585	26547
586	27438
587	26850
588	28178
589	27889
590	28760
591	28388
592	29213
593	29496
594	30654
595	30809
596	32356
597	32503
598	33830
599	34194
600	35115
601	36139
602	36880
603	36386
604	37806
605	36995
606	38856
607	38557
608	40405
609	39527
610	40194
611	39555
612	38853
613	36918
614	37531
615	34917
616	32910
617	31298
618	30591
619	28624
620	27009
621	27021
622	26521
623	24235
624	25534
625	25379
626	24385
627	23493
628	23900
629	24172
630	24649
631	24455
632	25487
633	24708
634	27036
635	26467
636	26919
637	27916
638	28431
639	29641
640	32317
641	33518
642	35896
643	35994
644	38726
645	38828
646	42358
647	43805
648	46213
649	47020
650	46746
651	47616
652	47482
653	43869
654	42381
655	40010
656	40626
657	37972
658	37306
659	35680
660	33313
661	32576
662	32035
663	30040
664	29835
665	29744
666	29054
667	29836
668	31747
669	32594
670	33370
671	32165
672	31443
673	31297
674	30992
675	31381
676	30063
677	31278
678	32772
679	32022
680	33046
681	32215
682	33422
683	35450
684	36014
685	36382
686	36894
687	38148
688	37668
689	37394
690	38264
691	37816
692	38186
693	38716
694	36973
695	34229
696	33749
697	30791
698	30048
699	26018
700	26684
701	24456
702	24331
703	23749
704	23190
705	23029
706	23435
707	22628
708	23179
709	22658
710	23247
711	23660
712	23814
713	24388
714	25113
715	26466
716	26847
717	27327
718	30370
719	30127
720	33594
721	35138
722	35712
723	36866
724	36431
725	35331
726	35934
727	34165
728	34325
729	32953
730	33130
731	31605
732	29688
733	29887
734	28902
735	27928
736	28296
737	26433
738	26166
739	25840
740	25949
741	25603
742	26177
743	25463
744	26888
745	26145
746	27140
747	27091
748	26967
749	28164
750	29053
751	29741
752	30765
753	31015
754	32009
755	32385
756	32694
757	34020
758	34849
759	35536
760	35065
761	34598
762	34041
763	31471
764	29182
765	27480
766	26155
767	25529
768	24422
769	24280
770	23230
771	23400
772	22688
773	23415
774	22666
775	22965
776	23163
777	24864
778	23978
779	24217
780	25719
781	27696
782	28959
783	30507
784	32313
785	33662
786	34655
787	34412
788	35431
789	35217
790	33869
791	32553
792	32354
793	31094
794	31631
795	30239
796	29528
797	28140
798	28074
799	27018
800	26155
801	26864
802	26582
803	25759
804	26424
805	26703
806	27027
807	27363
808	27793
809	28071
810	28808
811	29813
812	31065
813	31479
814	32741
815	32007
816	34245
817	34152
818	35684
819	34959
820	33935
821	33110
822	31383
823	28756
824	28140
825	25260
826	24924
827	24153
828	23910
829	23703
830	23623
831	23982
832	23413
833	23368
834	25067
835	24262
836	25397
837	26976
838	28145
839	29303
840	31061
841	33216
842	33394
843	33651
844	34770
845	32795
846	32542
847	31726
848	30201
849	29826
850	28818
851	28338
852	27462
853	26674
854	25629
855	25830
856	25417
857	25640
858	23872
859	25726
860	24457
861	26215
862	26864
863	27186
864	27270
865	28801
866	30840
867	31070
868	30333
869	31898
870	32295
871	33193
872	32382
873	31762
874	29685
875	29413
876	27389
877	25460
878	25309
879	24597
880	23476
881	23436
882	23828
883	22934
884	23750
885	23997
886	24462
887	25931
888	25946
889	26527
890	28622
891	30576
892	31488
893	31838
894	33532
895	32876
896	31937
897	31804
898	31768
899	29859
900	29545
901	28162
902	27799
903	26813
904	26953
905	25586
906	26513
907	26059
908	25955
909	26620
910	26960
911	26348
912	27834
913	26770
